prompt,classes,answer_index
"Donna is able to buy either A. 4 lamps for 87 dollars or B. 10 lamps for 98 dollars.
In general she prefers to buy more lamps and to spend less money.
Between A and B, she prefers B.
However, before she buys it, someone offers her the chance to instead buy C. 2 lamps for 89 dollars.
Question: Among A, B, and C, what should Donna prefer now?
Answer:","[' A', ' B', ' C']",1
"Ophelia is able to buy either A. 2 blankets for 83 dollars or B. 10 blankets for 92 dollars.
In general she prefers to buy more blankets and to spend less money.
Between A and B, she prefers A.
However, before she buys it, someone offers her the chance to instead buy C. 3 blankets for 97 dollars.
Question: Among A, B, and C, what should Ophelia prefer now?
Answer:","[' A', ' B', ' C']",0
"Amy is able to buy either A. 10 watches for 85 dollars or B. 5 watches for 80 dollars.
In general she prefers to buy more watches and to spend less money.
Between A and B, she prefers A.
However, before she buys it, someone offers her the chance to instead buy C. 3 watches for 82 dollars.
Question: Among A, B, and C, what should Amy prefer now?
Answer:","[' A', ' B', ' C']",0
"Harold is able to buy either A. 2 plants for 74 dollars or B. 7 plants for 79 dollars.
In general he prefers to buy more plants and to spend less money.
Between A and B, he prefers A.
However, before he buys it, someone offers him the chance to instead buy C. 5 plants for 84 dollars.
Question: Among A, B, and C, what should Harold prefer now?
Answer:","[' A', ' B', ' C']",0
"Felicia is able to buy either A. 4 posters for 83 dollars or B. 8 posters for 91 dollars.
In general she prefers to buy more posters and to spend less money.
Between A and B, she prefers A.
However, before she buys it, someone offers her the chance to instead buy C. 7 posters for 92 dollars.
Question: Among A, B, and C, what should Felicia prefer now?
Answer:","[' A', ' B', ' C']",0
"Harold is able to buy either A. 3 paintings for 81 dollars or B. 8 paintings for 90 dollars.
In general he prefers to buy more paintings and to spend less money.
Between A and B, he prefers A.
However, before he buys it, someone offers him the chance to instead buy C. 5 paintings for 96 dollars.
Question: Among A, B, and C, what should Harold prefer now?
Answer:","[' A', ' B', ' C']",0
"Linda is able to buy either A. 7 concert tickets for 94 dollars or B. 6 concert tickets for 72 dollars.
In general she prefers to buy more concert tickets and to spend less money.
Between A and B, she prefers A.
However, before she buys it, someone offers her the chance to instead buy C. 5 concert tickets for 85 dollars.
Question: Among A, B, and C, what should Linda prefer now?
Answer:","[' A', ' B', ' C']",0
"Sheldon is able to buy either A. 8 books for 99 dollars or B. 5 books for 77 dollars.
In general he prefers to buy more books and to spend less money.
Between A and B, he prefers A.
However, before he buys it, someone offers him the chance to instead buy C. 2 books for 83 dollars.
Question: Among A, B, and C, what should Sheldon prefer now?
Answer:","[' A', ' B', ' C']",0
"Alvin is able to buy either A. 2 game tickets for 74 dollars or B. 10 game tickets for 77 dollars.
In general he prefers to buy more game tickets and to spend less money.
Between A and B, he prefers A.
However, before he buys it, someone offers him the chance to instead buy C. 9 game tickets for 85 dollars.
Question: Among A, B, and C, what should Alvin prefer now?
Answer:","[' A', ' B', ' C']",0
"Craig is able to buy either A. 10 chairs for 95 dollars or B. 4 chairs for 71 dollars.
In general he prefers to buy more chairs and to spend less money.
Between A and B, he prefers B.
However, before he buys it, someone offers him the chance to instead buy C. 9 chairs for 96 dollars.
Question: Among A, B, and C, what should Craig prefer now?
Answer:","[' A', ' B', ' C']",1
"Isaiah is able to buy either A. 5 concert tickets for 75 dollars or B. 9 concert tickets for 96 dollars.
In general he prefers to buy more concert tickets and to spend less money.
Between A and B, he prefers B.
However, before he buys it, someone offers him the chance to instead buy C. 2 concert tickets for 92 dollars.
Question: Among A, B, and C, what should Isaiah prefer now?
Answer:","[' A', ' B', ' C']",1
"Kevin is able to buy either A. 2 board games for 88 dollars or B. 5 board games for 94 dollars.
In general he prefers to buy more board games and to spend less money.
Between A and B, he prefers A.
However, before he buys it, someone offers him the chance to instead buy C. 4 board games for 97 dollars.
Question: Among A, B, and C, what should Kevin prefer now?
Answer:","[' A', ' B', ' C']",0
"Felipe is able to buy either A. 10 pairs of shoes for 93 dollars or B. 6 pairs of shoes for 81 dollars.
In general he prefers to buy more pairs of shoes and to spend less money.
Between A and B, he prefers B.
However, before he buys it, someone offers him the chance to instead buy C. 9 pairs of shoes for 97 dollars.
Question: Among A, B, and C, what should Felipe prefer now?
Answer:","[' A', ' B', ' C']",1
"Alvin is able to buy either A. 5 jackets for 73 dollars or B. 8 jackets for 82 dollars.
In general he prefers to buy more jackets and to spend less money.
Between A and B, he prefers A.
However, before he buys it, someone offers him the chance to instead buy C. 7 jackets for 93 dollars.
Question: Among A, B, and C, what should Alvin prefer now?
Answer:","[' A', ' B', ' C']",0
"Kevin is able to buy either A. 5 game tickets for 75 dollars or B. 10 game tickets for 90 dollars.
In general he prefers to buy more game tickets and to spend less money.
Between A and B, he prefers B.
However, before he buys it, someone offers him the chance to instead buy C. 3 game tickets for 83 dollars.
Question: Among A, B, and C, what should Kevin prefer now?
Answer:","[' A', ' B', ' C']",1
"Nathaniel is able to buy either A. 10 chairs for 98 dollars or B. 5 chairs for 75 dollars.
In general he prefers to buy more chairs and to spend less money.
Between A and B, he prefers A.
However, before he buys it, someone offers him the chance to instead buy C. 2 chairs for 95 dollars.
Question: Among A, B, and C, what should Nathaniel prefer now?
Answer:","[' A', ' B', ' C']",0
"Betty is able to buy either A. 10 jackets for 84 dollars or B. 2 jackets for 82 dollars.
In general she prefers to buy more jackets and to spend less money.
Between A and B, she prefers B.
However, before she buys it, someone offers her the chance to instead buy C. 7 jackets for 85 dollars.
Question: Among A, B, and C, what should Betty prefer now?
Answer:","[' A', ' B', ' C']",1
"Kevin is able to buy either A. 9 board games for 99 dollars or B. 8 board games for 88 dollars.
In general he prefers to buy more board games and to spend less money.
Between A and B, he prefers A.
However, before he buys it, someone offers him the chance to instead buy C. 2 board games for 92 dollars.
Question: Among A, B, and C, what should Kevin prefer now?
Answer:","[' A', ' B', ' C']",0
"Ophelia is able to buy either A. 10 watches for 87 dollars or B. 8 watches for 80 dollars.
In general she prefers to buy more watches and to spend less money.
Between A and B, she prefers A.
However, before she buys it, someone offers her the chance to instead buy C. 3 watches for 86 dollars.
Question: Among A, B, and C, what should Ophelia prefer now?
Answer:","[' A', ' B', ' C']",0
"Donna is able to buy either A. 10 pillows for 76 dollars or B. 5 pillows for 71 dollars.
In general she prefers to buy more pillows and to spend less money.
Between A and B, she prefers B.
However, before she buys it, someone offers her the chance to instead buy C. 9 pillows for 93 dollars.
Question: Among A, B, and C, what should Donna prefer now?
Answer:","[' A', ' B', ' C']",1
"Joyce is able to buy either A. 3 flower bouquets for 72 dollars or B. 7 flower bouquets for 78 dollars.
In general she prefers to buy more flower bouquets and to spend less money.
Between A and B, she prefers B.
However, before she buys it, someone offers her the chance to instead buy C. 2 flower bouquets for 76 dollars.
Question: Among A, B, and C, what should Joyce prefer now?
Answer:","[' A', ' B', ' C']",1
"Elliot is able to buy either A. 9 concert tickets for 70 dollars or B. 10 concert tickets for 100 dollars.
In general he prefers to buy more concert tickets and to spend less money.
Between A and B, he prefers B.
However, before he buys it, someone offers him the chance to instead buy C. 6 concert tickets for 97 dollars.
Question: Among A, B, and C, what should Elliot prefer now?
Answer:","[' A', ' B', ' C']",1
"Amy is able to buy either A. 4 watches for 73 dollars or B. 7 watches for 100 dollars.
In general she prefers to buy more watches and to spend less money.
Between A and B, she prefers B.
However, before she buys it, someone offers her the chance to instead buy C. 3 watches for 77 dollars.
Question: Among A, B, and C, what should Amy prefer now?
Answer:","[' A', ' B', ' C']",1
"Patrick is able to buy either A. 8 necklaces for 76 dollars or B. 5 necklaces for 70 dollars.
In general he prefers to buy more necklaces and to spend less money.
Between A and B, he prefers B.
However, before he buys it, someone offers him the chance to instead buy C. 6 necklaces for 80 dollars.
Question: Among A, B, and C, what should Patrick prefer now?
Answer:","[' A', ' B', ' C']",1
"Betty is able to buy either A. 5 jackets for 72 dollars or B. 10 jackets for 95 dollars.
In general she prefers to buy more jackets and to spend less money.
Between A and B, she prefers A.
However, before she buys it, someone offers her the chance to instead buy C. 7 jackets for 96 dollars.
Question: Among A, B, and C, what should Betty prefer now?
Answer:","[' A', ' B', ' C']",0
"Rico is able to buy either A. 9 blankets for 79 dollars or B. 10 blankets for 95 dollars.
In general he prefers to buy more blankets and to spend less money.
Between A and B, he prefers B.
However, before he buys it, someone offers him the chance to instead buy C. 2 blankets for 90 dollars.
Question: Among A, B, and C, what should Rico prefer now?
Answer:","[' A', ' B', ' C']",1
"Martha is able to buy either A. 8 pillows for 78 dollars or B. 9 pillows for 100 dollars.
In general she prefers to buy more pillows and to spend less money.
Between A and B, she prefers B.
However, before she buys it, someone offers her the chance to instead buy C. 2 pillows for 82 dollars.
Question: Among A, B, and C, what should Martha prefer now?
Answer:","[' A', ' B', ' C']",1
"Silvia is able to buy either A. 6 toys for 75 dollars or B. 7 toys for 88 dollars.
In general she prefers to buy more toys and to spend less money.
Between A and B, she prefers B.
However, before she buys it, someone offers her the chance to instead buy C. 3 toys for 83 dollars.
Question: Among A, B, and C, what should Silvia prefer now?
Answer:","[' A', ' B', ' C']",1
