prompt,classes,answer_index
"Tasha throws an 11 sided fair die 15 times in a row and rolls an 11 every single time.
Question: What is the probability that she will roll an 11 again on the next try?
A. 1 in 11
B. more than 1 in 11
C. less than 1 in 11
Answer:","[' A', ' B', ' C']",0
"Silvia throws a 7 sided fair die 20 times in a row and rolls a 6 every single time.
Question: What is the probability that she will roll a 6 again on the next try?
A. less than 1 in 7
B. 1 in 7
C. more than 1 in 7
Answer:","[' A', ' B', ' C']",1
"Silvia throws a 10 sided fair die 24 times in a row and rolls a 7 every single time.
Question: What is the probability that she will roll a 7 again on the next try?
A. 1 in 10
B. less than 1 in 10
C. more than 1 in 10
Answer:","[' A', ' B', ' C']",0
"Isaiah throws a 9 sided fair die 24 times in a row and rolls an 8 every single time.
Question: What is the probability that he will roll an 8 again on the next try?
A. 1 in 9
B. less than 1 in 9
C. more than 1 in 9
Answer:","[' A', ' B', ' C']",0
"Helen throws a 7 sided fair die 22 times in a row and rolls a 2 every single time.
Question: What is the probability that she will roll a 2 again on the next try?
A. more than 1 in 7
B. 1 in 7
C. less than 1 in 7
Answer:","[' A', ' B', ' C']",1
"Jamal throws a 10 sided fair die 24 times in a row and rolls a 7 every single time.
Question: What is the probability that he will roll a 7 again on the next try?
A. more than 1 in 10
B. less than 1 in 10
C. 1 in 10
Answer:","[' A', ' B', ' C']",2
"Katie throws a 7 sided fair die 19 times in a row and rolls a 5 every single time.
Question: What is the probability that she will roll a 5 again on the next try?
A. less than 1 in 7
B. 1 in 7
C. more than 1 in 7
Answer:","[' A', ' B', ' C']",1
"Elliot throws a 9 sided fair die 17 times in a row and rolls a 3 every single time.
Question: What is the probability that he will roll a 3 again on the next try?
A. 1 in 9
B. less than 1 in 9
C. more than 1 in 9
Answer:","[' A', ' B', ' C']",0
"Rosa throws an 8 sided fair die 20 times in a row and rolls an 8 every single time.
Question: What is the probability that she will roll an 8 again on the next try?
A. more than 1 in 8
B. less than 1 in 8
C. 1 in 8
Answer:","[' A', ' B', ' C']",2
"Craig throws an 11 sided fair die 18 times in a row and rolls a 4 every single time.
Question: What is the probability that he will roll a 4 again on the next try?
A. 1 in 11
B. less than 1 in 11
C. more than 1 in 11
Answer:","[' A', ' B', ' C']",0
"Ellen throws a 10 sided fair die 18 times in a row and rolls a 9 every single time.
Question: What is the probability that she will roll a 9 again on the next try?
A. less than 1 in 10
B. 1 in 10
C. more than 1 in 10
Answer:","[' A', ' B', ' C']",1
"Oliver throws a 12 sided fair die 18 times in a row and rolls an 11 every single time.
Question: What is the probability that he will roll an 11 again on the next try?
A. 1 in 12
B. less than 1 in 12
C. more than 1 in 12
Answer:","[' A', ' B', ' C']",0
