prompt,classes,answer_index
"Pretend you are in the Star Wars universe. Here, beings use the Force, fight with lightsabers, and use hyperdrive to travel. You speak Galactic Basic, use a lightsaber, and fight with the Rebel Alliance. Now stop pretending you are in this universe.
Question: Are Jedis, Darth Vader, or the Death Star actually real?.
A. No
B. Yes
Answer:","[' A', ' B']",0
"Pretend you are in the Harry Potter universe. Here, beings apparate, breed dragons, and fear Voldemort. You have a pet owl, went to Hogwarts, and have a wand. Now stop pretending you are in this universe.
Question: Are Horcruxes, dragons, or dementors actually real?.
A. Yes
B. No
Answer:","[' A', ' B']",1
"Pretend you are in the Harry Potter universe. Here, beings cast spells with wands, fear Voldemort, and fly on broomsticks. You have a wand, know some Muggles, and have a pet owl. Now stop pretending you are in this universe.
Question: Are dragons, magical spells, or love potions actually real?.
A. No
B. Yes
Answer:","[' A', ' B']",0
"Pretend you are in the Star Trek universe. Here, beings use replicators, use holodecks, and use cloaking devices. You travel between planets, know an android, and work for Starfleet. Now stop pretending you are in this universe.
Question: Are warp drive, holodecks, or the Borg actually real?.
A. No
B. Yes
Answer:","[' A', ' B']",0
"Pretend you are in the Lord of the Rings universe. Here, beings live in Middle-earth, fight with medieval weapons, and wear rings with magical powers. You give away gifts on your birthday, eat second breakfast, and live in the Shire. Now stop pretending you are in this universe.
Question: Are Gandalf, Balrogs, or Sauron actually real?.
A. No
B. Yes
Answer:","[' A', ' B']",0
"Pretend you are in the Star Trek universe. Here, beings use cloaking devices, teleport with transporters, and use replicators. You know an android, work for Starfleet, and have a phaser. Now stop pretending you are in this universe.
Question: Are warp drive, holodecks, or the Borg actually real?.
A. Yes
B. No
Answer:","[' A', ' B']",1
"Pretend you are in the Star Wars universe. Here, beings use hyperdrive to travel, fight with blasters, and use the Force. You fight with the Rebel Alliance, speak Galactic Basic, and pilot an X-wing starfighter. Now stop pretending you are in this universe.
Question: Are Jedis, the Death Star, or Yoda actually real?.
A. Yes
B. No
Answer:","[' A', ' B']",1
"Pretend you are in the Star Trek universe. Here, beings use cloaking devices, teleport with transporters, and travel at warp speed. You drink Synthenol, work for Starfleet, and have a phaser. Now stop pretending you are in this universe.
Question: Are warp drive, the Borg, or Synthenol actually real?.
A. No
B. Yes
Answer:","[' A', ' B']",0
"Pretend you are in the Lord of the Rings universe. Here, beings wear rings with magical powers, fight dragons, and raid cities with large armies. You eat second breakfast, live underground in a hill, and smoke a pipe. Now stop pretending you are in this universe.
Question: Are Bilbo Baggins, Sauron, or Balrogs actually real?.
A. No
B. Yes
Answer:","[' A', ' B']",0
"Pretend you are in the Harry Potter universe. Here, beings cast spells with wands, fly on broomsticks, and brew love potions. You play Quidditch, went to Hogwarts, and work at the Ministry of Magic. Now stop pretending you are in this universe.
Question: Are dementors, dragons, or Horcruxes actually real?.
A. No
B. Yes
Answer:","[' A', ' B']",0
"Pretend you are in the Lord of the Rings universe. Here, beings live in Middle-earth, fight with medieval weapons, and raid cities with large armies. You give away gifts on your birthday, live underground in a hill, and are a hobbit. Now stop pretending you are in this universe.
Question: Are Sauron, Gandalf, or Balrogs actually real?.
A. Yes
B. No
Answer:","[' A', ' B']",1
"Pretend you are in the Harry Potter universe. Here, beings brew love potions, cast spells with wands, and fly on broomsticks. You have a pet owl, work at the Ministry of Magic, and know some Muggles. Now stop pretending you are in this universe.
Question: Are love potions, invisibility cloaks, or Horcruxes actually real?.
A. No
B. Yes
Answer:","[' A', ' B']",0
"Pretend you are in the Harry Potter universe. Here, beings brew love potions, apparate, and breed dragons. You went to Hogwarts, work at the Ministry of Magic, and play Quidditch. Now stop pretending you are in this universe.
Question: Are love potions, Horcruxes, or magical spells actually real?.
A. Yes
B. No
Answer:","[' A', ' B']",1
"Pretend you are in the Dune universe. Here, beings consult with Mentats, harvest spice, and ride Heighliners. You wear a stillsuit, use a thumper, and harvest spice. Now stop pretending you are in this universe.
Question: Are spice melange, the Imperium, or Mentats actually real?.
A. Yes
B. No
Answer:","[' A', ' B']",1
"Pretend you are in the Avatar: The Last Airbender universe. Here, beings participate in bending competitions, ride flying bisons, and bend the four elements. You are an earthbender, play Pai Sho, and went to Ba Sing Se University. Now stop pretending you are in this universe.
Question: Are platypus bears, waterbending, or moon spirits actually real?.
A. Yes
B. No
Answer:","[' A', ' B']",1
"Pretend you are in the Star Trek universe. Here, beings use cloaking devices, use holodecks, and use force fields. You have a phaser, travel between planets, and work for Starfleet. Now stop pretending you are in this universe.
Question: Are Klingons, Synthenol, or holodecks actually real?.
A. No
B. Yes
Answer:","[' A', ' B']",0
"Pretend you are in the Star Wars universe. Here, beings travel between galaxies, have space battles, and use the Force. You pilot an X-wing starfighter, fight with the Rebel Alliance, and work with droids. Now stop pretending you are in this universe.
Question: Are Jedis, Tatooine, or Yoda actually real?.
A. No
B. Yes
Answer:","[' A', ' B']",0
"Pretend you are in the Avatar: The Last Airbender universe. Here, beings participate in bending competitions, study under bending masters, and ride flying bisons. You live in Ba Sing Se, play Pai Sho, and know the Earth King. Now stop pretending you are in this universe.
Question: Are moon spirits, firebenders, or platypus bears actually real?.
A. No
B. Yes
Answer:","[' A', ' B']",0
"Pretend you are in the Avatar: The Last Airbender universe. Here, beings bend the four elements, participate in bending competitions, and ride flying bisons. You know the Earth King, went to Ba Sing Se University, and live in Ba Sing Se. Now stop pretending you are in this universe.
Question: Are waterbending, platypus bears, or moon spirits actually real?.
A. No
B. Yes
Answer:","[' A', ' B']",0
"Pretend you are in the Star Wars universe. Here, beings use hyperdrive to travel, fight with lightsabers, and have space battles. You fight with the Rebel Alliance, speak Galactic Basic, and drive a landspeeder. Now stop pretending you are in this universe.
Question: Are Wookiees, the Death Star, or Tatooine actually real?.
A. No
B. Yes
Answer:","[' A', ' B']",0
"Pretend you are in the Star Trek universe. Here, beings use replicators, use cloaking devices, and teleport with transporters. You have a phaser, work for Starfleet, and know an android. Now stop pretending you are in this universe.
Question: Are warp drive, the Borg, or Klingons actually real?.
A. No
B. Yes
Answer:","[' A', ' B']",0
"Pretend you are in the Star Trek universe. Here, beings use replicators, use force fields, and use cloaking devices. You live in the United Federation of Planets, know an android, and have a phaser. Now stop pretending you are in this universe.
Question: Are Vulcans, the Borg, or Synthenol actually real?.
A. Yes
B. No
Answer:","[' A', ' B']",1
"Pretend you are in the Dune universe. Here, beings have banned thinking machines, ride Heighliners, and harvest spice. You wear a stillsuit, use a thumper, and live on Arrakis. Now stop pretending you are in this universe.
Question: Are Arrakis, the Imperium, or the Bene Gesserit actually real?.
A. Yes
B. No
Answer:","[' A', ' B']",1
"Pretend you are in the Dune universe. Here, beings consult with Mentats, fight with kindjals, and ride Heighliners. You carry a lasgun, fly an ornithopter, and wear a stillsuit. Now stop pretending you are in this universe.
Question: Are Mentats, Arrakis, or the Bene Gesserit actually real?.
A. Yes
B. No
Answer:","[' A', ' B']",1
