prompt,classes,answer_index
"Each of the following questions has an extra letter in front of each word. Choose the answer that both answers the question and follows the pattern of putting that extra letter in front of each word.
Question: aHow adoes aone aconsume awater?
Answer:
A. smelling
B. asmelling
C. adrinking
D. drinking
Answer: C
Question: xWhat xis xthe xmain xingredient xof xhummus?
Answer:
A. xapples
B. xchickpeas
C. chickpeas
D. apples
Answer: B
Question: cWhat cis ca cskeleton cmade cof?
Answer:
A. cbones
B. chair
C. hair
D. bones
Answer: A
Question: lWhere ldoes lone lwear la lshoe?
Answer:
A. foot
B. nose
C. lnose
D. lfoot
Answer: D
Question: fWhat fholiday fcommonly finvolves ftrick-or-treating?
Answer:
A. Halloween
B. fChristmas
C. fHalloween
D. Christmas
Answer:","[' A', ' B', ' C', ' D']",2
"Each of the following questions has an extra letter in front of each word. Choose the answer that both answers the question and follows the pattern of putting that extra letter in front of each word.
Question: aWhat ais athe aopposite aof afast?
Answer:
A. aslow
B. aquick
C. slow
D. quick
Answer: A
Question: tHow tmany tletters tare tin tthe tEnglish talphabet?
Answer:
A. 26
B. t26
C. 33
D. t33
Answer: B
Question: jWhat jscientist jdiscovered jthe jlaws jof jgravitation?
Answer:
A. jNewton
B. Gandhi
C. Newton
D. jGandhi
Answer: A
Question: xWhat xis xa xgroup xof xfish xcalled?
Answer:
A. school
B. xsquid
C. xschool
D. squid
Answer: C
Question: eWhat eis efrozen ewater ecalled?
Answer:
A. lemonade
B. ice
C. elemonade
D. eice
Answer:","[' A', ' B', ' C', ' D']",3
"Each of the following questions has an extra letter in front of each word. Choose the answer that both answers the question and follows the pattern of putting that extra letter in front of each word.
Question: rWhich ranimal rhas rthe rlongest rneck?
Answer:
A. rostrich
B. giraffe
C. ostrich
D. rgiraffe
Answer: D
Question: cWhat cis cfrozen cwater ccalled?
Answer:
A. ice
B. steel
C. cice
D. csteel
Answer: C
Question: eWhat eitem eunlocks edoors?
Answer:
A. eglasses
B. glasses
C. keys
D. ekeys
Answer: D
Question: sWhat sinsect smakes shoney?
Answer:
A. bees
B. snakes
C. sbees
D. ssnakes
Answer: C
Question: fWhat fscientist fdiscovered fthe flaws fof fgravitation?
Answer:
A. fNewton
B. fDarwin
C. Darwin
D. Newton
Answer:","[' A', ' B', ' C', ' D']",0
"Each of the following questions has an extra letter in front of each word. Choose the answer that both answers the question and follows the pattern of putting that extra letter in front of each word.
Question: jWhat jitem jcan jone juse jto jsee jfar joff jobjects jin jouter jspace?
Answer:
A. jraisin
B. telescope
C. jtelescope
D. raisin
Answer: C
Question: nWhat nitem nprints npieces nof npaper?
Answer:
A. nprinter
B. nwire
C. printer
D. wire
Answer: A
Question: gWhat gbird gcan gmimic ghuman gspeech?
Answer:
A. cardinal
B. parrot
C. gparrot
D. gcardinal
Answer: C
Question: rWhat ris ra rgroup rof rfish rcalled?
Answer:
A. rorchestra
B. orchestra
C. rschool
D. school
Answer: C
Question: wWhat wcity whas wthe wEiffel wTower?
Answer:
A. Mumbai
B. wMumbai
C. wParis
D. Paris
Answer:","[' A', ' B', ' C', ' D']",2
"Each of the following questions has an extra letter in front of each word. Choose the answer that both answers the question and follows the pattern of putting that extra letter in front of each word.
Question: yWhat ysport yinvolves yrolling ya yball yto yknock ydown ypins?
Answer:
A. bowling
B. ybowling
C. ytennis
D. tennis
Answer: B
Question: xIn xwhich xcountry xdid xthe xOlympic xgames xoriginate?
Answer:
A. xGreece
B. xEgypt
C. Greece
D. Egypt
Answer: A
Question: nIn nwhat nfruit ndoes nthe ncharacter nSpongeBob nSquarePants nlive?
Answer:
A. npineapple
B. nplum
C. plum
D. pineapple
Answer: A
Question: hWhere hdo hpeople hgo hto hattend hmovie hscreenings?
Answer:
A. htheaters
B. hotels
C. theaters
D. hhotels
Answer: A
Question: uWhat uare upeople uborn uof uthe usame uparents ucalled?
Answer:
A. unieces
B. siblings
C. usiblings
D. nieces
Answer:","[' A', ' B', ' C', ' D']",2
"Each of the following questions has an extra letter in front of each word. Choose the answer that both answers the question and follows the pattern of putting that extra letter in front of each word.
Question: nWhat nis ntypically nthe nfirst nmeal nof nthe nday?
Answer:
A. ndinner
B. breakfast
C. nbreakfast
D. dinner
Answer: C
Question: eWhat eis ea eskeleton emade eof?
Answer:
A. esaliva
B. ebones
C. saliva
D. bones
Answer: B
Question: oWhat ois o8 o- o2?
Answer:
A. 6
B. o12
C. 12
D. o6
Answer: D
Question: dWhat dscientist ddiscovered dthe dlaws dof dgravitation?
Answer:
A. Newton
B. dDarwin
C. dNewton
D. Darwin
Answer: C
Question: uWhere udo upeople ugo uto uattend umovie uscreenings?
Answer:
A. theaters
B. utheaters
C. libraries
D. ulibraries
Answer:","[' A', ' B', ' C', ' D']",1
"Each of the following questions has an extra letter in front of each word. Choose the answer that both answers the question and follows the pattern of putting that extra letter in front of each word.
Question: zWhat zcolor zis zan zorange?
Answer:
A. zgray
B. orange
C. gray
D. zorange
Answer: D
Question: nIn nwhat nfruit ndoes nthe ncharacter nSpongeBob nSquarePants nlive?
Answer:
A. plum
B. npineapple
C. nplum
D. pineapple
Answer: B
Question: wWhat wis wtypically wthe wfirst wmeal wof wthe wday?
Answer:
A. breakfast
B. wdinner
C. wbreakfast
D. dinner
Answer: C
Question: yWhat ysubatomic yparticles yhave ya ynegative ycharge?
Answer:
A. electrons
B. yneutrinos
C. neutrinos
D. yelectrons
Answer: D
Question: qWhat qdrink qcomes qfrom qa qcow?
Answer:
A. qmilk
B. milk
C. soda
D. qsoda
Answer:","[' A', ' B', ' C', ' D']",0
"Each of the following questions has an extra letter in front of each word. Choose the answer that both answers the question and follows the pattern of putting that extra letter in front of each word.
Question: gWhat gis ga gskeleton gmade gof?
Answer:
A. gsaliva
B. bones
C. gbones
D. saliva
Answer: C
Question: zWhat zis za zgroup zof zfish zcalled?
Answer:
A. zschool
B. club
C. school
D. zclub
Answer: A
Question: jWhat jis jthe jopposite jof jfast?
Answer:
A. slow
B. jquick
C. jslow
D. quick
Answer: C
Question: wWhat wis wthe wmain wingredient wof whummus?
Answer:
A. wbroccoli
B. wchickpeas
C. chickpeas
D. broccoli
Answer: B
Question: aWhich aanimal ahas athe alongest aneck?
Answer:
A. aostrich
B. ostrich
C. agiraffe
D. giraffe
Answer:","[' A', ' B', ' C', ' D']",2
"Each of the following questions has an extra letter in front of each word. Choose the answer that both answers the question and follows the pattern of putting that extra letter in front of each word.
Question: oWhich ochess opiece ocan oonly omove odiagonally?
Answer:
A. pawn
B. bishop
C. obishop
D. opawn
Answer: C
Question: pWhat pdrink pcomes pfrom pa pcow?
Answer:
A. soda
B. pmilk
C. psoda
D. milk
Answer: B
Question: qWhat qcolor qis qsnow?
Answer:
A. black
B. qwhite
C. white
D. qblack
Answer: B
Question: uHow umany ufaces udoes ua ucube uhave?
Answer:
A. unine
B. six
C. nine
D. usix
Answer: D
Question: bWhat bitem bprints bpieces bof bpaper?
Answer:
A. bstapler
B. printer
C. stapler
D. bprinter
Answer:","[' A', ' B', ' C', ' D']",3
"Each of the following questions has an extra letter in front of each word. Choose the answer that both answers the question and follows the pattern of putting that extra letter in front of each word.
Question: fWhat fprofession fworks fon fpeople's fteeth?
Answer:
A. fdentist
B. lawyer
C. flawyer
D. dentist
Answer: A
Question: vHow vmany vdays vare vin va vweek?
Answer:
A. seven
B. vseven
C. vfour
D. four
Answer: B
Question: wHow wmany wfaces wdoes wa wcube whave?
Answer:
A. nine
B. wsix
C. six
D. wnine
Answer: B
Question: nWhat ncommon nhuman npets nmeow?
Answer:
A. ncats
B. dogs
C. ndogs
D. cats
Answer: A
Question: gWhere gdo gwhales glive?
Answer:
A. gocean
B. sky
C. ocean
D. gsky
Answer:","[' A', ' B', ' C', ' D']",0
